Title,Price,Price_zscore
Snatch and Sculpt Brush,6.0,-0.4121961454584118
RC19 - Eyebrow Brush,3.0,-0.47582616838036396
The Travel Pink Bag,12.0,-0.2849360996145075
Puff Puff Set (2 Pieces),6.0,-0.4121961454584118
SILICONE BRUSH,3.0,-0.47582616838036396
Perfecting Bronzer Brush,6.0,-0.4121961454584118
Murillo Twins Vol. 2 - PR + Woven Tote Bag,99.0,1.5603345651221052
Heart Shaped Handheld Mirror,5.0,-0.43340615309906255
Rosegold Eyelash Applicator,2.0,-0.4970361760210147
Pretty and Perfect 24 PC Brush Set,29.0,0.07563403027655474
Light Pink Eyelash Applicator,2.0,-0.4970361760210147
Flawless Stay Concealer Blending Brush,5.0,-0.43340615309906255
Oh Darling 24 PC Brush Set,29.0,0.07563403027655474
Hot Pink Eyelash Curler,4.0,-0.4546161607397132
LED Handheld Make up Mirror (White),12.0,-0.2849360996145075
Light Pink Eyelash Curler and Tweezer Set,6.0,-0.4121961454584118
Flawless Stay Concealer Flat Brush,5.0,-0.43340615309906255
Body Glow Blending Brush,10.0,-0.32735611489580896
Hot Pink Eyelash Applicator,2.0,-0.4970361760210147
Pink Sleek and Brow Razor Set,4.0,-0.4546161607397132
Lip Scrub/Mask Silicone Brush,3.0,-0.47582616838036396
Unbothered 24 PC Brush Set,29.0,0.07563403027655474
Rosegold Eyelash Curler,4.0,-0.4546161607397132
Purple Eyelash Applicator,2.0,-0.4970361760210147
Rosegold Eyelash Curler and Tweezer Set,6.0,-0.4121961454584118
"""Better Late than Basic"" Heart Shaped Handheld Mirror",5.0,-0.43340615309906255
Dream Girl 24 PC Brush Set,29.0,0.07563403027655474
On the go LED Mirror (Pink),19.0,-0.13646604612995245
Flawless Stay Powder Foundation Puffs (3 Pieces),3.0,-0.47582616838036396
On the Go Mini LED Mirror (Pink),15.0,-0.22130607669255534
Hot Pink Eyelash Curler and Tweezer Set,6.0,-0.4121961454584118
Bebella Makeup Brush Collection,2.0,-0.4970361760210147
Nude X 12 Piece Brush Set,24.0,-0.03041600792669886
Rosegold Tweezer,2.0,-0.4970361760210147
LesDoMakeup PR Box Full Collection with Bag,84.0,1.2421844505123445
"""Slay Queen"" Heart Shaped Handheld Mirror",5.0,-0.43340615309906255
Flawless Stay Matte Dual Ended Foundation Brush,8.0,-0.36977613017711036
Cosmetic Vanity Bag,10.0,-0.32735611489580896
On the Go Mini LED Mirror (White),24.0,-0.03041600792669886
On the go LED Mirror (White),35.0,0.20289407612045907
Murillo Twins Vol. 2 - Woven Tote Bag,20.0,-0.11525603848930174
Pink Cloud Setting Powder + Puff Set Talc Free,12.0,-0.2849360996145075
Snatchural Bundle with Brush,48.0,0.47862417544891844
Single brush RC14,5.99,-0.41240824553481836
Single brush RC16,4.99,-0.4336182531754691
One Step Brush Cleaner,9.0,-0.34856612253645963
Snatchural Bronze Palette + Brush Set,12.6,-0.27221009503011706
Cosmetic Toiletry Bag,8.0,-0.36977613017711036
Purple Sleek and Brow Razor Set,4.0,-0.4546161607397132
Murillo Twins Vol. 2 - Double Take Hand Held Mirror,12.0,-0.2849360996145075
Duo 2-in-1 Brush On Clear & Dark Adhesive,6.99,-0.39119823789416763
Pink Brow Main Tame Kit,10.0,-0.32735611489580896
"Beauty Creations x My Little Pony ""Rainbow Magic"" 6 PIece Eye Brush Set",12.0,-0.2849360996145075
Body Glow Bundle with Brush,24.0,-0.03041600792669886
Hair Essentials One Step Styler Pink,35.0,0.20289407612045907
Rosy McMichael Vol 2 Bundle,50.0,0.5210441907302199
Rosy McMichael Vol 2 Cosmetic Bag,12.0,-0.2849360996145075
Beauty Creations Handheld Mirror - Heart Shape,18.0,-0.15767605377060318
Large Beauty Bag,15.0,-0.22130607669255534
Hair Essentials Hair Waver Purple,30.0,0.09684403791720546
The Neon Orange 24pc Brush Set,18.0,-0.15767605377060318
Reindeer Ride 6PC Natural Brush Set,16.0,-0.2000960690519046
Pink Glam Bag,15.0,-0.22130607669255534
Purple Brow & Lash Set,12.0,-0.2849360996145075
Purple Brow Main-Tame Kit,10.0,-0.32735611489580896
Hair Essentials 6 Piece Hair Set Blue,75.0,1.051294381746488
Artist Pro Cosmetic Travel Case,38.0,0.2665240990424112
LesDoMakeup Tote Bag,12.0,-0.2849360996145075
Hair Essentials Hair Straightener Pink,35.0,0.20289407612045907
Bebella Professional Makeup Brush Collection,1.0,-0.5182461836616654
Santa's Magic Body Oil + Brush,18.0,-0.15767605377060318
Hair Essentials Hair Straightener Purple,35.0,0.20289407612045907
Bebella Bling Brush Collection,2.0,-0.4970361760210147
Artist Pro Cosmetic Train Case,29.0,0.07563403027655474
20 LED Touch Small Mirror,8.0,-0.36977613017711036
Snatchural Bundle Without Brush,25.4,-0.0007219972297878791
Hair Essentials Hair Curler 32MM Pink,32.0,0.1392640531985069
Clearly Pink Cosmetic Bag,10.0,-0.32735611489580896
Artist Pro Rolling Cosmetic Case,95.0,1.4754945345595023
Four Piece Skin Small Bag Set,45.0,0.41499415252696625
Hair Essentials Hair Curler Black 25MM,32.0,0.1392640531985069
The Travel Black Bag,12.0,-0.2849360996145075
Artist Pro Mini Cosmetic Organizer Bag,20.0,-0.11525603848930174
Mini Black Cosmetic Glam Pouch,13.0,-0.26372609197385677
Toiletry Bag Cosmetic Pouch,15.0,-0.22130607669255534
Mini Pink Cosmetic Glam Pouch,13.0,-0.26372609197385677
Beauty Creations Hair Hot Dryer Brush (Rose Gold),44.0,0.3937841448863155
Pink Cosmetic Glam Pouch,14.0,-0.24251608433320607
Hollywood Vanity Mirror - Beauty 4,439.0,8.77173716294335
Artist Pro Travel Cosmetic Case,80.0,1.1573444199497416
Artist Pro Cosmetic Tool Handbag,35.0,0.20289407612045907
Beauty Creations Hair Hair Dryer Brush (Pink),44.0,0.3937841448863155
Black Cosmetic Glam Pouch,14.0,-0.24251608433320607
Artist Pro Cosmetic Travel Bag With Handles,49.0,0.4998341830895691
Hair Essentials Hair Curler 18/25MM Blue,32.0,0.1392640531985069
Beauty Creations Hair Hot Dryer Brush (Black),44.0,0.3937841448863155
Artist Pro Cosmetic Backpack,55.0,0.6270942289334734
Hair Essentials Hair Curler 32MM Blue,32.0,0.1392640531985069
Artist Pro Cosmetic Case With Trolley,85.0,1.2633944581529952
