Title,Price,Price_zscore
Bratz X Beauty Creations Nightlife Black & White Liner Set,14.0,-0.34556241686064215
Bratz X Beauty Creations Forever Shimmerin' Hair & Body Shimmer,12.0,-0.429086982073404
The Travel Pink Bag,12.0,-0.429086982073404
Bratz X Beauty Creations Keep on Playin' Baked Highlights,12.0,-0.429086982073404
Bratz X Beauty Creations Party Line Lip and Cheek Cream Cell Phone,12.0,-0.429086982073404
Bratz X Beauty Creations Lookin' Good Handheld Mirror,22.0,-0.01146415600959458
Bratz X Beauty Creations Flaunt Black Liner,7.0,-0.6378983951053088
Bratz X Beauty Creations Strut White Liner,7.0,-0.6378983951053088
Bratz X Beauty Creations Glamour Glitter Liner,7.0,-0.6378983951053088
Bratz X Beauty Creations Glitz Glitter Liner,7.0,-0.6378983951053088
Bratz X Beauty Creations Kiss N' Makeup Lip Plumping Duo,12.0,-0.429086982073404
Bratz X Beauty Creations Yasmin Lip Oil,8.0,-0.5961361124989278
Bratz X Beauty Creations Sasha Lip Oil,8.0,-0.5961361124989278
Bratz X Beauty Creations Cloe Lip Oil,8.0,-0.5961361124989278
Bratz X Beauty Creations Jade Lip Oil,8.0,-0.5961361124989278
Bratz X Beauty Creations Unforgettable Night Multi-Use Liquid Tint,7.0,-0.6378983951053088
Bratz X Beauty Creations Turnin' It Up Multi-Use Liquid Tint,7.0,-0.6378983951053088
Bratz X Beauty Creations Girls Nite Out Shadow Palette,18.0,-0.17851328643511835
"Tim Burton's Corpse Bride X Beauty Creations ""Learn Your Vows"" Handheld Mirror",22.0,-0.01146415600959458
"Tim Burton's Corpse Bride X Beauty Creations ""Everlasting"" Setting Mist",12.0,-0.429086982073404
"Tim Burton's Corpse Bride X Beauty Creations ""Haunting Spell: Scraps/Black Widow"" Dual-Ended Liquid Liner",7.0,-0.6378983951053088
"Tim Burton's Corpse Bride X Beauty Creations ""Hopscotch: Beloved/Departed"" Dual-Ended Liquid Liner",7.0,-0.6378983951053088
"Tim Burton's Corpse Bride X Beauty Creations ""I Do: Vows"" pH Lip Oil",8.0,-0.5961361124989278
"Tim Burton's Corpse Bride X Beauty Creations ""Promise"" 3D Winged Faux Mink (Lashes)",8.0,-0.5961361124989278
"Tim Burton's Corpse Bride X Beauty Creations ""According To Plan"" Cream Contour Palette",14.0,-0.34556241686064215
"Tim Burton's Corpse Bride x Beauty Creations ""Why So Blue?"" Multi-Use Palette",16.0,-0.26203785164788024
LesDoMakeup Individual Lashes Simple Gal,8.0,-0.5961361124989278
LesDoMakeup Tote Bag,12.0,-0.429086982073404
LesDoMakeup PR Box Full Collection with Bag,84.0,2.577797365586024
LesDoMakeup PR Box Full Collection,74.0,2.160174539522215
LesDoMakeup Individual Lashes Rushing Out,8.0,-0.5961361124989278
LesDoMakeup Liquid Blush & Highlight,16.0,-0.26203785164788024
LesDoMakeup Stay Focus  Dual Ended Lip Liner & Tinted Oil,10.0,-0.5126115472861659
LesDoMakeup Locked In  Setting Mistlocked In  Setting Mist,12.0,-0.429086982073404
LesDoMakeup Getting It Done Multi-use Face Palette,20.0,-0.09498872122235646
"Beauty Creations x My Little Pony ""Mane event blush and highlight stick""",14.0,-0.34556241686064215
"Beauty Creations x My Little Pony ""I Want A Pony"" Reusable Cup with Blenders",12.0,-0.429086982073404
"Beauty Creations x My Little Pony ""Lost in the Clouds"" Shadow and Face Palette",15.0,-0.3038001342542612
Beauty Creations x My Little Pony PR Collection,75.0,2.2019368221285958
"Beauty Creations x My Little Pony ""Sky's the Limit"" Handheld Mirror",22.0,-0.01146415600959458
"Beauty Creations x My Little Pony ""Made in the 80s"" Lip Oil Set",12.0,-0.429086982073404
"Beauty Creations x My Little Pony ""Made in the 80s: Happiness"" Lip Oil",6.0,-0.6796606777116897
"Beauty Creations x My Little Pony ""Pony Dreams"" Lip Balm Set",12.0,-0.429086982073404
"Beauty Creations x My Little Pony ""Pony Dreams"" Lip Balm",7.0,-0.6378983951053088
"Beauty Creations x My Little Pony ""Full of Fun"" Glitter Liners Set",12.0,-0.429086982073404
"Beauty Creations x My Little Pony ""Full of Fun: Unicorn Magic"" Silver Glitter Liner",5.0,-0.7214229603180706
"Beauty Creations x My Little Pony ""Rainbow Magic"" 6 PIece Eye Brush Set",12.0,-0.429086982073404
"Beauty Creations x My Little Pony ""Full of Magic"" Body and Face Gel Glitter",6.0,-0.6796606777116897
"Beauty Creations x My Little Pony ""Pony Talk"" Lip Plumper Set",12.0,-0.429086982073404
"Beauty Creations x My Little Pony ""Pony Talk"" Lip Plumper",7.0,-0.6378983951053088
"Beauty Creations x My Little Pony ""Better Together"" Body Lotion",8.0,-0.5961361124989278
YeriMua Secret Fantasy Glitter Set Bundle,12.0,-0.429086982073404
Louie Castro Perra Approved Liquid Eyeliners Individual,3.0,-0.8049475255308325
Murillo Twins Vol. 2 - Double Take Hand Held Mirror,12.0,-0.429086982073404
Murillo Twins Vol. 2 - PR + Woven Tote Bag,99.0,3.2042316046817385
Murillo Twins Vol. 2 - Woven Tote Bag,20.0,-0.09498872122235646
Murillo Twins Vol. 2 - PR,89.0,2.786608778617929
Murillo Twins Vol. 2 - LOVE ME NUDE Lip Kit,19.0,-0.13675100382873742
Murillo Twins Vol. 2 - FIRE & DESIRE Lashes,16.0,-0.26203785164788024
Murillo Twins Vol. 2 - TWINTUTION Eyeliners,12.0,-0.429086982073404
Murillo Twins Vol. 2 - CHEEK CHECK Blush Sticks,16.0,-0.26203785164788024
Murillo Twins Vol. 2 - Define Me Contour Sticks,16.0,-0.26203785164788024
Rosy McMichael Vol 2 Cosmetic Bag,12.0,-0.429086982073404
Rosy McMichael Vol 2 Bundle,50.0,1.157879756969072
Louie Castro Snatched Water Resistant Liner Duo,10.0,-0.5126115472861659
Rosy McMichael Vol 2 PR,69.0,1.95136312649031
ROSY MCMICHAEL VOL 2 - The Not-So Classic Kit,19.0,-0.13675100382873742
ROSY MCMICHAEL VOL 2 - The Liquid Chrome Trio,10.0,-0.5126115472861659
ROSY MCMICHAEL VOL 2 - Pink Dream Blushes,18.0,-0.17851328643511835
ROSY McMICHAEL VOL 2 - Rosy's Highlighters,18.0,-0.17851328643511835
ROSY MCMICHAEL VOL 2 - The Every Other Day Palette,30.0,0.322634104841453
Luis Torres Vol 2 PR Box,66.0,1.826076278671167
Luis Torres Vol 2 Overdressed Shadow Palette,27.0,0.19734725702231015
Luis Torres Vol 2 My Essentials Shadow Sponge Sticks,7.0,-0.6378983951053088
Luis Torres Vol 2 It's a Vibe Face Palette,22.0,-0.01146415600959458
Luis Torres Vol 2 True Treasures Cream Shadow Crayons,7.0,-0.6378983951053088
Louie Castro Lip Trio Bundle,20.0,-0.09498872122235646
Louie Castro PR Box,59.4,1.5504452134690525
Louie Castro Fuego Lip Trio,19.0,-0.13675100382873742
Louie Castro Latina Lip Trio,19.0,-0.13675100382873742
Louie Castro Full Perra Potential Faux Mink Lashes,16.0,-0.26203785164788024
Louie Castro The Baddest Perra Shadow Palette,26.0,0.1555849744159292
Louie Castro The Chi Chi Blenders Duo,12.0,-0.429086982073404
YeriMua Collection Bundle,35.0,0.5314455178733577
YeriMua Shadow and Face Palette,20.0,-0.09498872122235646
YeriMua Bad B*tch Lip Duo,12.0,-0.429086982073404
YeriMua Unique Setting Spray,10.0,-0.5126115472861659
YeriMua My Faves Lip Trio,16.0,-0.26203785164788024
YeriMua PR Box,79.0,2.3689859525541195
LesDoMakeup Lip Trio Bundle,22.8,0.021945670075510206
LesDoMakeup Mi Vida Lip Trio,19.0,-0.13675100382873742
LesDoMakeup My City Lip Trio,19.0,-0.13675100382873742
Rosy McMichael The Lash Trio,8.0,-0.5961361124989278
Brittany's Eyeshadow Palette - Murillo Twins Vol. 1,8.0,-0.5961361124989278
Brittany's Lip Drip - Murillo Twins Vol. 1,12.0,-0.429086982073404
Bratz X Beauty Creations Girls Nite Full Collection,125.0,4.290050952447643
Bratz x Beauty Creations Lip Oil Bundle,32.0,0.40615867005421485
My Little Pony x Beauty Creations Assortment Bundle,33.0,0.44792095266059584
My Little Pony x Beauty Creations Lip & Face Bundle,39.6,0.7235520178627101
My Little Pony x Beauty Creations Lip & Eye Bundle,28.2,0.24746199614996725
LesDoMakeup 4-Piece Bundle,30.0,0.322634104841453
Bratz x Beauty Creations Girls Nite Collection,110.0,3.663616713351929
